headline,emotion_huggingface
You Can Smell Hillary’s Fear,fear
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),sadness
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',anger
"Tehran, USA",neutral
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,fear
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",neutral
10 Ways America Is Preparing for World War 3,neutral
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,disgust
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,fear
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,joy
‘Inferno’ and the Overpopulation Myth,neutral
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",neutral
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],neutral
Why It’s Necessary To Relax Into A Stretch,neutral
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",neutral
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",neutral
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,neutral
First Ever Hindu Woman Elected into Congress,neutral
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,disgust
Ex-Assistant FBI Director: Clintons Are a Crime Family,fear
Hillary Wants Aggressively Interventionist Foreign Policy,anger
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,surprise
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,anger
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,fear
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,surprise
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,fear
"3 Effects of Substance Abuse on Individual, Family and Community",disgust
