headline,emotion_huggingface
You Can Smell Hillary’s Fear,fear
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),sadness
Kerry to go to Paris in gesture of sympathy,joy
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',anger
The Battle of New York: Why This Primary Matters,neutral
"Tehran, USA",neutral
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,fear
‘Britain’s Schindler’ Dies at 106,sadness
Fact check: Trump and Clinton at the 'commander-in-chief' forum,neutral
Iran reportedly makes new push for uranium concessions in nuclear talks,neutral
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",fear
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,disgust
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",neutral
10 Ways America Is Preparing for World War 3,neutral
"Trump takes on Cruz, but lightly",neutral
How women lead differently,neutral
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,disgust
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,fear
What's in that Iran bill that Obama doesn't like?,neutral
The 1 chart that explains everything you need to know about partisanship in America,neutral
The slippery slope to Trump’s proposed ban on Muslims,fear
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,joy
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,neutral
New Senate majority leader’s main goal for GOP: Don’t be scary,fear
‘Inferno’ and the Overpopulation Myth,neutral
Anti-Trump forces seek last-ditch delegate revolt,anger
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,neutral
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,neutral
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),disgust
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",neutral
GOP insiders: Carly crushed it,anger
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],neutral
